"Character name	title	descriptions	attributes	agent_verbs	patient_verbs	tsne_1_weighted_descriptions_embeddings	tsne_2_weighted_descriptions_embeddings	tsne_3_weighted_descriptions_embeddings	labels"
"Nina von Stauffenberg	['Colonel']	['attend', 'fly', 'present', 'get', 'persuade', 'extract', 'stun', 'begin', 'survive', 'dismiss', 'leave', 'visit', 'go', 'relieve', 'present', 'take', 'lose', 'order', 'wound', 'learn', 'present', 'evacuate', 'Back', 'recruiting', 'change', 'heroism', 'act', 'Resistance', 'wait', 'dismay', 'certain', 'Colonel']	['recruiting', 'change', 'heroism', 'act', 'Resistance', 'wait', 'dismay', 'certain']	['attend', 'fly', 'present', 'get', 'persuade', 'extract', 'stun', 'begin', 'survive', 'dismiss', 'leave', 'visit', 'go']	['relieve', 'present', 'take', 'lose', 'order', 'wound', 'learn', 'present', 'evacuate', 'Back']	0.9490843	5.7634187	1.1103303	5"
"Major Otto Ernst Remer	['Major']	['realize', 'prepare', 'stop', 'arrest', 'Major', 'Army', 'Army', 'Major']	['Major', 'Army', 'Army']	['realize', 'prepare']	['stop', 'arrest']	29.682837	0.6019658	9.829107	54"
"Detective Terry Hoitz	['detective']	['receive', 'try', 'reconcile', 'begin', 'apologize', 'go', 'fail', 'confide', 'rejoin', 'split', 'investigate', 'convince', 'confide', 'marry', 'stick', 'send', 'tempered', 'anger', 'accusation', 'detective']	['tempered', 'anger', 'accusation']	['receive', 'try', 'reconcile', 'begin', 'apologize', 'go', 'fail', 'confide']	['rejoin', 'split', 'investigate', 'convince', 'confide', 'marry', 'stick', 'send']	25.452942	0.3855284	27.10193	6"
"Captain Gene Mauch	['Capt.']	['back', 'split', 'arrive', 'back', 'meet', 'Capt.']		['back', 'split', 'arrive']	['back', 'meet']	28.441717	-20.273651	-3.7432468	4"
"Lauren Adrian	['reporter']	['become', 'convince', 'want', 'head', 'quit', 'investigate', 'reporter', 'story', 'reporter']	['reporter', 'story']	['become', 'convince', 'want', 'head', 'quit']	['investigate']	-35.358204	-12.590119	-6.89535	2"
"Elena Diaz		['meet', 'shoot', 'meet', 'kill', 'work']		['meet']	['shoot', 'meet', 'kill', 'work']	28.494844	-26.425713	-0.6107116	4"
"Nadine Woodberg		['call', 'invite', 'aggressive', 'rough', 'room', 'locker', 'babysitting']	['aggressive', 'rough', 'room', 'locker', 'babysitting']	['call']	['invite']	-28.44628	-3.6665137	-22.987192	36"
"Melissa Rowan		['discover', 'agree', 'worry', 'present', 'threaten', 'get', 'call', 'friend']	['friend']	['discover', 'agree', 'worry', 'present', 'threaten', 'get']	['call']	-28.26217	-4.2740574	-22.094688	36"
"Kimberly Wells	['reporter']	['ask', 'confront', 'interview', 'conclude', 'interview', 'tearful', 'reporter']	['tearful']	['ask', 'confront', 'interview', 'conclude', 'interview']		-32.079025	-11.38911	-7.560866	2"
"Erlik		['lead', 'Saw', 'lead', 'city', 'city']	['city', 'city']	['lead', 'Saw']	['lead']	-0.034795623	42.15923	6.772873	25"
"Sam Bowden	['judge', 'prosecutor', 'lawyer', 'lawyer']	['defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'realize', 'take', 'overpower', 'prove', 'swim', 'disbar', 'decide', 'persuade', 'hire', 'interrupt', 'testify', 'make', 'attack', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'go', 'kill', 'attack', 'cause', 'track', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'friend', 'Eluding', 'lawyer', 'family', 'judge', 'prosecutor', 'lawyer', 'lawyer']	['appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'appearance', 'order', 'colleague', 'colleague', 'wife', 'threat', 'departure', 'lawyer', 'friend', 'Eluding', 'lawyer', 'family']	['defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'defend', 'give', 'watch', 'approach', 'bring', 'disbar', 'manage', 'discover', 'bury', 'keep', 'attempt', 'crush', 'admit', 'betray', 'realize', 'take', 'overpower', 'prove', 'swim', 'disbar', 'decide', 'persuade', 'hire', 'interrupt', 'testify', 'make', 'attack']	['kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'kill', 'allow', 'beat', 'use', 'remind', 'persuade', 'hear', 'gain', 'confront', 'hire', 'track', 'go', 'kill', 'attack', 'cause', 'track']	33.89726	-2.894554	2.1514416	34"
"Danielle Bowden		['school', 'next', 'daughter', 'school', 'pretending']	['school', 'next', 'daughter', 'school', 'pretending']			-1.7208042	-27.666908	15.324583	18"
"Raju		['love', 'name', 'cast', 'attempt', 'fond', 'fond']	['attempt', 'fond', 'fond']	['love']	['name', 'cast']	0.8677558	-27.32435	-4.888838	7"
"Preeti		['want', 'drink', 'wear', 'smoke', 'want', 'fall', 'marry', 'marry', 'live', 'impress', 'wife']	['wife']	['want', 'drink', 'wear', 'smoke', 'want', 'fall']	['marry', 'marry', 'live', 'impress']	8.84578	-19.010738	22.394575	15"
"Bharat		['fall', 'want', 'meet', 'idealism', 'son']	['idealism', 'son']	['fall', 'want']	['meet']	24.015493	-21.392962	-5.631761	4"
"Frank Lucas	['driver']	['provide', 'set', 'meet', 'realize', 'contend', 'fall', 'supply', 'disregard', 'step', 'supply', 'church', 'take', 'decide', 'buy', 'meet', 'impart', 'rise', 'dislike', 'decide', 'make', 'prosecute', 'meet', 'place', 'kill', 'provide', 'kill', 'cut', 'tell', 'interrupt', 'catch', 'cousin', 'business', 'influence', 'nephew', 'product', 'nephew', 'driver', 'mansion', 'supply', 'influence', 'name', 'able', 'driver']	['cousin', 'business', 'influence', 'nephew', 'product', 'nephew', 'driver', 'mansion', 'supply', 'influence', 'name', 'able']	['provide', 'set', 'meet', 'realize', 'contend', 'fall', 'supply', 'disregard', 'step', 'supply', 'church', 'take', 'decide', 'buy', 'meet', 'impart', 'rise', 'dislike', 'decide', 'make']	['prosecute', 'meet', 'place', 'kill', 'provide', 'kill', 'cut', 'tell', 'interrupt', 'catch']	37.213955	0.62403	-15.284726	8"
"Richie Roberts	['detective', 'prosecutor']	['pass', 'see', 'juggle', 'catch', 'resist', 'discover', 'obtain', 'follow', 'continue', 'meet', 'make', 'become', 'turn', 'pass', 'see', 'juggle', 'catch', 'resist', 'discover', 'obtain', 'follow', 'continue', 'meet', 'make', 'become', 'turn', 'cease', 'discover', 'allow', 'order', 'cease', 'discover', 'allow', 'order', 'honesty', 'behavior', 'prosecutor', 'duty', 'wealthy', 'honesty', 'behavior', 'prosecutor', 'duty', 'wealthy', 'detective', 'prosecutor']	['honesty', 'behavior', 'prosecutor', 'duty', 'wealthy', 'honesty', 'behavior', 'prosecutor', 'duty', 'wealthy']	['pass', 'see', 'juggle', 'catch', 'resist', 'discover', 'obtain', 'follow', 'continue', 'meet', 'make', 'become', 'turn', 'pass', 'see', 'juggle', 'catch', 'resist', 'discover', 'obtain', 'follow', 'continue', 'meet', 'make', 'become', 'turn']	['cease', 'discover', 'allow', 'order', 'cease', 'discover', 'allow', 'order']	22.50025	2.0566072	27.532133	6"
"Cody Jarrett	['leader']	['suffer', 'decide', 'drop', 'steal', 'learn', 'reply', 'escape', 'develop', 'flee', 'shout', 'intend', 'shoot', 'start', 'insist', 'take', 'introduce', 'introduce', 'confess', 'surrender', 'provide', 'attach', 'steal', 'kill', 'attach', 'fight', 'shoot', 'confidante', 'escape', 'man', 'henchman', 'gang', 'train', 'trusting', 'father', 'cell', 'attempt', 'leader', 'leader']	['confidante', 'escape', 'man', 'henchman', 'gang', 'train', 'trusting', 'father', 'cell', 'attempt', 'leader']	['suffer', 'decide', 'drop', 'steal', 'learn', 'reply', 'escape', 'develop', 'flee', 'shout', 'intend', 'shoot', 'start', 'insist', 'take', 'introduce', 'introduce', 'confess', 'surrender']	['provide', 'attach', 'steal', 'kill', 'attach', 'fight', 'shoot']	-16.578608	12.595546	26.62337	9"
"Damien		['share', 'attack', 'attack', 'kill', 'share']		['share', 'attack', 'attack']	['kill', 'share']	-2.0243454	16.486984	14.60318	61"
"Rebecca 'Becky' Ann Leeman		['sing', 'name', 'head', 'contrast', 'competition', 'contrast', 'contrast', 'funeral', 'daughter', 'interest', 'day']	['contrast', 'competition', 'contrast', 'contrast', 'funeral', 'daughter', 'interest', 'day']	['sing', 'name', 'head']		23.220379	8.697941	-12.183893	24"
"Frankie		['realize', 'accept', 'tell', 'choose', 'embrace', 'close', 'explode', 'meet', 'receive', 'introduce', 'visit', 'follow', 'visit', 'call', 'dating', 'neighborhood', 'sister']	['call', 'dating', 'neighborhood', 'sister']	['realize', 'accept', 'tell', 'choose', 'embrace', 'close', 'explode', 'meet', 'receive', 'introduce']	['visit', 'follow', 'visit']	-23.052551	-15.636983	9.349102	46"
"Lillian		['tell', 'leave', 'hospitalize', 'leave', 'house', 'mother']	['house', 'mother']	['tell', 'leave']	['hospitalize', 'leave']	-21.958166	13.76117	-6.073208	37"
"Hannah		['tell', 'find', 'insist', 'stay', 'stay', 'disgust', 'girlfriend']	['girlfriend']	['tell', 'find', 'insist', 'stay']	['stay', 'disgust']	3.6690855	-8.775062	36.466003	10"
"Helen Benson	['professor']	['drive', 'quiz', 'take', 'save', 'relay', 'upset', 'break', 'take', 'head', 'find', 'instruct', 'tell', 'car', 'Highlands', 'help', 'help', 'unbelieving', 'professor']	['car', 'Highlands', 'help', 'help', 'unbelieving']	['drive', 'quiz', 'take', 'save', 'relay', 'upset', 'break', 'take', 'head']	['find', 'instruct', 'tell']	-25.704367	-5.832799	25.024124	11"
"Verna Carlson		['produce', 'kill', 'cash', '25', '25', 'witness', 'disappearance', 'cash']	['cash', '25', '25', 'witness', 'disappearance', 'cash']	['produce']	['kill']	19.23182	31.417559	14.489667	47"
"Doug		['marry', 'reveal', 'find', 'locate', 'mattress', 'conversation', 'dealer']	['mattress', 'conversation', 'dealer']	['marry', 'reveal']	['find', 'locate']	-25.354841	22.514418	-2.855264	45"
"Prakash		['invite', 'sleep', 'offer', 'play', 'cause', 'make', 'rescue', 'tell', 'sleep', 'rescue', 'tell', 'find', 'named']	['named']	['invite', 'sleep', 'offer', 'play', 'cause', 'make', 'rescue', 'tell']	['sleep', 'rescue', 'tell', 'find']	33.41326	10.590073	-6.160816	12"
"Deepak	['student']	['start', 'offer', 'return', 'play', 'kill', 'ask', 'sell', 'win', 'take', 'earn', 'make', 'wake', 'buy', 'tell', 'lose', 'rescue', 'become', 'stop', 'fight', 'give', 'name', 'leave', 'quarrel', 'cause', 'ignore', 'offer', 'want', 'student']		['start', 'offer', 'return', 'play', 'kill', 'ask', 'sell', 'win', 'take', 'earn', 'make', 'wake', 'buy', 'tell', 'lose', 'rescue']	['become', 'stop', 'fight', 'give', 'name', 'leave', 'quarrel', 'cause', 'ignore', 'offer', 'want']	-13.723732	-9.518431	26.840216	13"
"Dr. Kevin Harrison	['dealer', 'mechanic']	['hear', 'tell', 'pay', 'attempt', 'want', 'arrive', 'pay', 'lie', 'ask', 'send', 'receive', 'commit', 'claim', 'hear', 'tell', 'pay', 'attempt', 'want', 'arrive', 'pay', 'lie', 'ask', 'send', 'receive', 'commit', 'claim', 'destroy', 'receive', 'meet', 'send', 'tell', 'destroy', 'receive', 'meet', 'send', 'tell', 'dealer', 'story', 'story', 'dealer', 'story', 'story', 'dealer', 'mechanic']	['dealer', 'story', 'story', 'dealer', 'story', 'story']	['hear', 'tell', 'pay', 'attempt', 'want', 'arrive', 'pay', 'lie', 'ask', 'send', 'receive', 'commit', 'claim', 'hear', 'tell', 'pay', 'attempt', 'want', 'arrive', 'pay', 'lie', 'ask', 'send', 'receive', 'commit', 'claim']	['destroy', 'receive', 'meet', 'send', 'tell', 'destroy', 'receive', 'meet', 'send', 'tell']	-2.3588388	8.059783	-39.396942	57"
"Prabu		['fall', 'ready', 'decide', 'begin', 'love', 'fall']		['fall', 'ready', 'decide', 'begin']	['love', 'fall']	-1.6118565	-26.696848	-3.7576506	7"
"Young Will		['care', 'protect', 'want', 'impale', 'try', 'impale', 'frustrate', 'realize', 'enter', 'make', 'take', 'resurrect', 'body', 'spat', 'womanizer', 'hard']	['body', 'spat', 'womanizer', 'hard']	['care', 'protect', 'want', 'impale', 'try', 'impale', 'frustrate', 'realize', 'enter']	['make', 'take', 'resurrect']	-3.3106515	10.567536	6.5244517	5"
"Delatombe	['General']	['capture', 'believe', 'force', 'notice', 'back', 'shoot', 'take', 'impale', 'convince', 'General']		['capture', 'believe', 'force', 'notice', 'back', 'shoot', 'take']	['impale', 'convince']	-5.0568657	11.994617	9.423574	5"
"Angelika		['kiss', 'stay', 'tell', 'save', 'save', 'awaken', 'drown', 'take', 'stay', 'father', 'effort', 'help']	['father', 'effort', 'help']	['kiss', 'stay', 'tell', 'save', 'save']	['awaken', 'drown', 'take', 'stay']	-14.318505	0.23140036	-28.835096	23"
"Rose Lorkowski		['embarrass', 'ask', 'encounter', 'visit', 'start', 'run', 'realize', 'apologize', 'forgive', 'force', 'go', 'get', 'ask', 'return', 'son', 'Unfortunately']	['son', 'Unfortunately']	['embarrass', 'ask', 'encounter', 'visit', 'start', 'run', 'realize', 'apologize', 'forgive']	['force', 'go', 'get', 'ask', 'return']	22.347578	-16.584633	19.763144	14"
"Julia Hoffman	['psychiatrist']	['discover', 'revive', 'psychiatrist', 'murder', 'away', 'away', 'psychiatrist']	['psychiatrist', 'murder', 'away', 'away']	['discover', 'revive']		-34.53581	-13.117436	8.288621	55"
"David Collins		['rescue', 'rescue', 'rescue', 'father', 'governess', 'psychiatrist', 'mother', 'father', 'son']	['father', 'governess', 'psychiatrist', 'mother', 'father', 'son']	['rescue', 'rescue']	['rescue']	28.217163	-0.16407868	-15.989051	53"
"Gao	['student']	['gain', 'pin', 'make', 'beat', 'make', 'injures', 'student', 'match', 'student']	['injures', 'student', 'match']	['gain', 'pin', 'make']	['beat', 'make']	-8.161445	-5.2093263	30.511795	13"
"Swan		['inform', 'carry', 'stab', 'friend', 'named']	['friend', 'named']	['inform', 'carry']	['stab']	28.301437	12.095126	-4.533377	12"
"Alison Langley		['depart', 'refuse', 'recognise', 'promise', 'wife']	['wife']	['depart', 'refuse']	['recognise', 'promise']	9.813775	-19.397957	24.435505	15"
"David Langley	['curator']	['horrify', 'hide', 'forget', 'face', 'expect', 'take', 'decide', 'lose', 'go', 'promise', 'tell', 'threaten', 'overjoy', 'realise', 'rebel', 'continue', 'take', 'recognise', 'find', 'arrest', 'see', 'warn', 'oblige', 'give', 'wife', 'colleague', 'request', 'house', 'accountable', 'curator']	['wife', 'colleague', 'request', 'house', 'accountable']	['horrify', 'hide', 'forget', 'face', 'expect', 'take', 'decide', 'lose', 'go', 'promise', 'tell', 'threaten', 'overjoy', 'realise', 'rebel']	['continue', 'take', 'recognise', 'find', 'arrest', 'see', 'warn', 'oblige', 'give']	-4.17829	-14.471928	25.74332	42"
"Jennifer Langley		['send', 'see', 'involve', 'bring', 'daughter']	['daughter']	['send']	['see', 'involve', 'bring']	15.312041	-23.15159	16.364557	21"
"George Grierson	['scholar', 'boss']	['dinner', 'bos', 'dinner', 'bos', 'scholar', 'boss']	['dinner', 'bos', 'dinner', 'bos']			6.4136415	33.98374	-16.317955	22"
"Cassidy	['manager']	['meet', 'walk', 'share', 'agree', 'leave', 'promise', 'tell', 'take', 'reveal', 'work', 'rejoin', 'steal', 'explain', 'book', 'meet', 'repay', 'place', 'manager']	['place']	['meet', 'walk', 'share', 'agree', 'leave', 'promise', 'tell', 'take', 'reveal', 'work', 'rejoin', 'steal', 'explain']	['book', 'meet', 'repay']	-15.685809	14.186712	-26.255922	16"
"Tucker		['delight', 'wake', 'fail', 'tell', 'fear', 'continue', 'appear', 'begin', 'lock', 'set', 'save', 'ask', 'get', 'shoot', 'capture', 'rescue', 'find', 'find', 'kill', 'wake', 'theory', 'advice', 'injured', 'lake']	['theory', 'advice', 'injured', 'lake']	['delight', 'wake', 'fail', 'tell', 'fear', 'continue', 'appear', 'begin', 'lock', 'set', 'save', 'ask']	['get', 'shoot', 'capture', 'rescue', 'find', 'find', 'kill', 'wake']	15.978843	-1.7696234	-10.764377	53"
"Dale		['dig', 'try', 'stop', 'leave', 'free', 'leave', 'set', 'find', 'save', 'lock', 'fight', 'continue', 'rescue', 'shoot', 'ask', 'befriend', 'talk', 'rescue', 'find', 'kill', 'get', 'cabin', 'shovel']	['cabin', 'shovel']	['dig', 'try', 'stop', 'leave', 'free', 'leave', 'set', 'find', 'save', 'lock', 'fight', 'continue', 'rescue']	['shoot', 'ask', 'befriend', 'talk', 'rescue', 'find', 'kill', 'get']	18.61046	-3.249069	-16.027868	53"
"Nick	['driver']	['incapacitate', 'ask', 'suggest', 'tell', 'discuss', 'berate', 'say', 'drive', 'arrive', 'join', 'obtain', 'work', 'hold', 'keep', 'arrive', 'turn', 'stop', 'second', 'sleep', 'end', 'grab', 'reveal', 'wait', 'chill', 'call', 'wake', 'deduce', 'go', 'drive', 'send', 'hold', 'walk', 'tell', 'tell', 'go', 'flee', 'call', 'knock', 'join', 'end', 'let', 'force', 'Mustang', 'parent', 'friend', 'father', 'driver', 'driver']	['Mustang', 'parent', 'friend', 'father', 'driver']	['incapacitate', 'ask', 'suggest', 'tell', 'discuss', 'berate', 'say', 'drive', 'arrive', 'join', 'obtain', 'work', 'hold', 'keep', 'arrive', 'turn', 'stop', 'second', 'sleep', 'end', 'grab', 'reveal', 'wait', 'chill', 'call', 'wake', 'deduce', 'go', 'drive']	['send', 'hold', 'walk', 'tell', 'tell', 'go', 'flee', 'call', 'knock', 'join', 'end', 'let', 'force']	37.68363	-0.1042411	-16.601414	8"
"Kate		['turn', 'manage', 'drive', 'drive', 'see', 'sister', 'apartment', 'money', 'money']	['sister', 'apartment', 'money', 'money']	['turn', 'manage', 'drive']	['drive', 'see']	39.85397	-3.258184	-7.37605	65"
"Luke	['reporter']	['get', 'come', 'wake', 'manage', 'leave', 'suggest', 'get', 'push', 'allow', 'take', 'enter', 'get', 'find', 'shadow', 'shadow', 'warning', 'alone', 'reporter']	['shadow', 'shadow', 'warning', 'alone']	['get', 'come', 'wake', 'manage', 'leave', 'suggest']	['get', 'push', 'allow', 'take', 'enter', 'get', 'find']	-31.654364	-12.768851	-5.0400944	2"
"Cindi Whitehall		['reveal', 'spot', 'say', 'wait', 'vanish', 'come', 'disappear', 'go', 'stick', 'argue', 'spot', 'meet', 'make', 'find', 'prepare', 'search', 'search', 'sure']	['search', 'search', 'sure']	['reveal', 'spot', 'say', 'wait', 'vanish', 'come', 'disappear', 'go', 'stick', 'argue', 'spot']	['meet', 'make', 'find', 'prepare']	-25.121325	24.83413	1.1685519	45"
